kpi,campaign_name,campaign_id,value
Highest Sales Campaign,SB|Banner | prime day |FingerPaint|EV,53195916546472,12922.22
Highest ROAS Campaign,SPPT|MyFirstSwingingJungleCombo|EV,454299066820157,195.7746
Lowest ROAS Campaign,SPM|Phrase|PlayDOughAll|EV,14266908817652,0.0
Highest Spend Campaign,SPM|Phrase | prime day |MixASIN-1|EV,35955913989064,6594.7
Best Conversion Campaign (CVR),SPPT|MyFirstSwingingJungleCombo|EV,454299066820157,200.0
Highest ACOS Campaign,SP_CT_Starter_fingerpaints_painting_EV,422753227659504,194.8403
Lowest ACOS Campaign,SPPT|MyFirstSwingingJungleCombo|EV,454299066820157,0.5108
Highest CPC Campaign,SPM|PlayDough|Exact\EV,190630060887939,36.11
Lowest CPC Campaign,spt comp | exact | luxor crayons | ev,138409774871727,1.34
